Sem. ep.,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
E.F.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.
DUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,1,1,-,1,1,2,2,2,2,2,4,1,2,5,-,2,5,-,2,5,-,2,5,-,2,5,-,2,5,-,2,5,1,2,6,-,2,6,-,2,6,1,2,7,-,2,7,-,2,7,-,2,7,-,2,7,1,2,8,4,3,11,12,6,20,2,6,22,5,8,25,3,8,28,7,11,32,3,12,34,18,19,45,1,19,46,-,19,46,-,19,46,-,19,46,-,19,46,-,19,46
GUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,7,4,4,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5,-,10,5
GRO,-,-,-,-,-,-,3,1,2,34,19,18,34,33,38,22,42,51,13,47,59,19,58,67,19,69,75,48,92,90,43,116,109,25,128,120,20,133,128,14,141,134,18,149,144,20,159,154,20,167,166,6,170,169,17,175,181,14,179,191,40,195,215,56,219,247,123,284,305,110,326,373,25,328,396,83,369,438,57,394,470,58,416,506,44,426,536,80,459,583,92,503,632,57,531,661,68,567,693,109,610,759,85,649,805,137,707,884,141,762,970,165,835,1,123,896,1,85,932,1,122,994,1,63,1,30,238,1,122,79,1,167,133,1,233,64,1,264,60,1,285,41,1,305,62,1,338,31,1,357,-,1,357,-,1,357,45,1,380
HID,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1,1,2,2,2,3,1,2,4,1,2,5,2,2,7,1,3,7,6,6,10,3,7,12,1,7,13,2,7,15,29,16,35,127,50,128,67,79,166,59,98,206,59,121,242,26,129,260,16,133,272,24,141,288,5,142,292,3,143,294,4,143,298,1,143,299,5,143,304,1,144,304,7,147,308,-,147,308,11,153,313,2,155,313,-,155,313,8,159,317,5,162,319,5,163,323,15,168,333,11,174,338,-,174,338,20,183,349,-,183,349,23,194,361,-,194,361,4,197,362,2,197,364,-,197,364,-,197,364,-,197,364
JAL,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,3,2,2,-,2,2,1,2,3,2,2,5,6,6,7,5,7,11,4,8,14,-,8,14,5,8,19,-,8,19,-,8,19,-,8,19,-,8,19,-,8,19,-,8,19,1,9,19,-,9,19,-,9,19,-,9,19,-,9,19,1,9,20,-,9,20,-,9,20,-,9,20,3,10,22,-,10,22,3,12,22,7,14,27,15,22,34,29,40,45,26,52,59,101,89,123,49,113,148,10,116,155,-,116,155,41,134,178,33,148,197,148,197,745,88,190,243,83,212,282,-,212,282,70,244,319,-,244,319,802,606,759,49,630,784,23,638,799,-,638,799,-,638,799
MEX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-,--,9,5,4,1,11,8,8,11,14,13,-,14,13,15,18,24,-,18,24,10,23,29,-,23,29,7,26,33,-,26,33,-,26,33,5,26,37,-,26,37,-,26,37,3,27,39,-,27,39,-,27,39
MIC,-,-,-,-,-,-,23,13,10,21,26,18,15,30,29,33,47,45,12,53,51,8,59,53,17,68,61,17,78,68,11,84,73,-,84,73,11,88,80,4,91,81,8,95,83,11,100,89,8,103,94,11,106,102,6,110,104,-,110,104,174,176,212,25,187,226,37,206,244,37,229,258,7,232,262,34,247,281,13,253,288,18,263,296,12,268,303,27,280,318,12,284,326,49,309,350,46,331,374,55,358,402,96,403,453,124,461,519,-,461,519,135,530,585,109,583,641,157,662,719,90,711,760,92,747,816,166,825,904,86,865,950,114,921,1,93,968,1,120,1,14,137,1,74,81,1,94,104,1,152,29,1,170,16,1,179,14,1,185
MOR,-,-,-,-,-,-,2,2,-,7,7,2,2,7,4,4,10,5,7,12,10,14,16,20,2,15,21,11,17,28,10,21,36,2,23,36,12,29,42,7,33,45,21,43,56,19,51,67,21,62,77,24,70,93,14,69,93,39,82,119,48,108,141,143,167,225,185,246,331,247,363,461,285,475,606,155,535,701,109,583,762,252,641,850,367,769,1,367,918,1,273,1,42,212,1,102,386,1,280,294,1,336,211,1,403,197,1,485,308,1,606,196,1,689,161,1,755,501,1,990,106,1,936,124,1,985,235,2,97,225,2,191,159,2,269,237,2,380,93,2,420,117,2,471,173,2,549,49,2,571,32,2,594,-,2,594,62,2,623
NAY,-,-,-,2,1,1,-,1,1,2,2,2,3,4,3,3,5,5,-,5,5,4,5,9,-,5,9,-,5,9,1,5,10,3,8,10,1,9,10,-,9,10,1,9,11,-,9,11,2,9,13,-,9,13,-,9,13,2,10,14,4,12,16,1,13,16,2,13,18,9,17,23,5,20,25,7,22,30,16,29,39,24,40,52,7,43,56,4,45,58,8,47,64,2,47,66,4,49,68,4,49,72,3,49,75,9,54,79,15,60,88,5,62,91,11,67,97,2,66,99,5,66,104,5,67,108,3,69,109,4,69,113,2,69,115,7,72,121,16,79,130,4,82,131,14,86,141,35,100,162,-,100,162,34,116,180,5,118,183
NLE,-,-,-,-,-,-,4,2,2,1,2,3,2,3,4,5,6,6,11,10,13,2,10,15,13,13,25,14,20,32,2,20,34,3,20,37,3,21,39,5,21,44,3,21,47,3,21,50,4,23,52,4,25,54,5,28,56,4,31,57,6,33,61,6,34,66,2,36,66,5,38,69,5,39,73,6,39,79,3,40,81,3,42,82,2,42,83,1,42,84,4,43,87,11,45,96,12,51,102,13,59,107,11,66,111,16,75,118,14,81,126,13,89,131,19,97,142,30,108,161,24,123,170,34,141,185,37,158,205,39,171,231,28,185,245,44,203,271,45,220,299,44,238,325,29,254,338,37,278,351,22,289,362,-,289,362,-,289,362
